date|value
2023-04-15 | 7
2009-01-02 | 2
2009-01-01 | 3
2010-12-31 | 1.5
2011-01-03 | 2.3
2012-02-29 | 1
2012-02-30 | 4
2013-05-12 | -3
2014-07-02 | 0
2015-13-01 | 5
2016-11-31 | 2
2017-04-31 | 9
2018-01-09 | 1000
2008-12-31 | 1
2010-10-10 | 2147483648
2020-02-29 | 3
2020-02-28 | 4
2020-02-30 | 1
2011-10-10 | abc
2011-10-10 | 10
2011-10-10 | 2000
2021-05-05 | 0.5
2023-04-15 | 5.5
1999-10-10 | 3
2024-01-01 | 10
2024-12-31 | 4
abcd-ef-gh | 10
2022-1-1 | 2
2022-01-1 | 2
2022-01-01 | 999
2022-01-01 | -12
2022-01-01 | 123456789
